Label,Num_Samples,MMD_Score
firseria,14,0.004740935707446381
firseria,15,0.004183406260433342
firseria,16,0.0036827940346366717
firseria,17,0.003260993512252064
firseria,18,0.0028948848150651685
firseria,19,0.002597642927460786
firseria,20,0.002343867303069125
firseria,21,0.0021284999465747134
firseria,22,0.0019381407524472483
firseria,23,0.0017841041803543511
emotet,1,0.0007173545870817755
emotet,2,0.0005593994183528128
emotet,3,0.00019646168909526196
emotet,4,0.00043585254066469403
emotet,5,0.0011916721650655493
emotet,6,0.0007650442600275476
emotet,7,0.0009552832409769341
emotet,8,0.0007920798803338069
emotet,9,0.0009887110448303371
emotet,10,0.0010791798808313935
emotet,11,0.0011529049790552914
emotet,12,0.004303631701435773
emotet,13,0.0036643592603107233
emotet,14,0.0031039482927988082
emotet,15,0.0032563717719196195
emotet,16,0.0029329889872804493
emotet,17,0.002370902861049018
emotet,18,0.00201745428049227
emotet,19,0.0020200385487287864
emotet,20,0.0018087118825564907
emotet,21,0.0016494146942827026
emotet,22,0.0015189710110448118
emotet,23,0.0013660250944773633
emotet,24,0.001329400738560027
emotet,25,0.0011182385611385737
emotet,26,0.0010478831019358203
driverpack,1,7.441314524569975e-07
driverpack,2,5.448545854491726e-07
driverpack,3,4.1833055530737795e-07
driverpack,4,2.152380271791543e-07
driverpack,5,1.7669356651150991e-06
driverpack,6,1.4035835822490128e-06
driverpack,7,1.2411453333971423e-06
domaiq,1,0.0006867280363385131
domaiq,2,7.461032560662773e-07
domaiq,3,7.985773170071653e-06
domaiq,4,7.330466823773918e-06
domaiq,5,3.4472837875387796e-06
domaiq,6,2.5007077124605814e-06
domaiq,7,1.9551785301885616e-08
hotbar,1,2.90564461380427e-10
hotbar,2,1.0073342870953184e-07
hotbar,3,6.667618457356639e-09
hotbar,4,8.467480938634253e-09
hotbar,5,7.4301311769886524e-09
hotbar,6,3.5519686369944736e-07
hotbar,7,3.5960228572662345e-07
hotbar,8,4.2839191682908506e-07
hotbar,9,3.2920926962276553e-07
hotbar,10,2.1361838919986553e-07
hotbar,11,1.869152248534789e-07
hotbar,12,1.3685301181176612e-07
hotbar,13,1.1750407957755726e-07
multiplug,1,5.724513292726385e-06
multiplug,2,1.6408210992135963e-06
multiplug,3,7.846230380970098e-07
multiplug,4,1.354854127111338e-06
multiplug,5,1.9842019738369743e-07
multiplug,6,7.982315388677108e-07
multiplug,7,1.2088660472642232e-06
multiplug,8,9.713454995896598e-07
multiplug,9,1.0945895785319237e-06
multiplug,10,3.970520769280839e-06
multiplug,11,1.8280846529439287e-05
multiplug,12,1.2768245873928663e-05
multiplug,13,1.2759812984874941e-05
multiplug,14,1.093475240088182e-05
multiplug,15,7.32990931795463e-06
multiplug,16,3.762803890916544e-06
multiplug,17,6.429815635478064e-07
dlhelper,1,0.00035994958740248606
dlhelper,2,8.420189956259705e-05
downloadadmin,1,1.3674750221071008e-10
downloadadmin,2,2.9378184329686974e-09
downloadadmin,3,1.6013861348085356e-09
downloadadmin,4,0.0784986429567045
downloadadmin,5,0.05023527974455755
downloadadmin,6,0.03488481094953455
downloadadmin,7,0.02562803870573238
downloadadmin,8,0.019414040776655872
downloadadmin,9,0.015340603773326578
downloadadmin,10,1.9714899408551645e-06
downloadadmin,11,1.6312822552766448e-06
downloadadmin,12,0.008844791901916116
downloadadmin,13,0.007535903518510079
downloadadmin,14,0.006497333284904538
downloadadmin,15,0.0056591552883806795
downloadadmin,16,0.004973175930389484
downloadadmin,17,6.870137885250927e-07
downloadadmin,18,6.140340589322335e-07
downloadadmin,19,5.486496943429842e-07
downloadadmin,20,7.30196873632849e-07
downloadadmin,21,0.0029010000595819374
downloadadmin,22,0.002643058182107527
downloadadmin,23,5.740492072803249e-07
downloadadmin,24,5.268077214459765e-07
downloadadmin,25,4.875390651193356e-07
downloadadmin,26,4.5585298669159613e-07
downloadadmin,27,4.1317827026432496e-07
downloadadmin,28,9.069467612476956e-07
downloadadmin,29,8.477795589989512e-07
downloadadmin,30,7.954017613442943e-07
downloadadmin,31,7.395482131133946e-07
downloadadmin,32,6.95808680895027e-07
downloadadmin,33,6.599954345265502e-07
downloadadmin,34,6.095706979181159e-07
downloadadmin,35,5.551772495060447e-07
downloadadmin,36,5.285782844755005e-07
downloadadmin,37,4.98497645828877e-07
downloadadmin,38,4.6653952368025386e-07
downloadadmin,39,0.0008085939345656712
downloadadmin,40,4.4108070973436497e-07
downloadadmin,41,0.0007629879106216819
downloadadmin,42,0.0007273501127855742
downloadadmin,43,0.00068473767356525
downloadadmin,44,0.0006531062246091235
downloadadmin,45,0.0006243987052443334
downloadadmin,46,0.0021531118380755387
downloadadmin,47,0.002062478934339529
downloadadmin,48,0.0019774223049231487
downloadadmin,49,0.0018974972867140671
downloadadmin,50,0.0018227049049339694
gamarue,1,0.00047851532734366486
gamarue,2,0.17520281965860063
gamarue,3,0.07622149390249389
gamarue,4,0.09064657678316745
gamarue,5,0.10237156125294855
gamarue,6,0.07110152668185554
gamarue,7,0.1247855093946677
gamarue,8,0.18968086384113825
gamarue,9,0.2512051302614784
gamarue,10,0.1904958030656223
gamarue,11,0.1578545464012613
gamarue,12,0.1577658211285471
gamarue,13,0.18806807652126323
gamarue,14,0.23243602817147258
gamarue,15,0.1415831900736626
gamarue,16,0.12416280103043076
gamarue,17,0.11045234106952972
gamarue,18,0.09876271398983816
gamarue,19,0.06789421020963693
gamarue,20,0.05340798278343173
darkkomet,1,0.739194336260304
darkkomet,2,0.7999914052957546
darkkomet,3,0.09038642830450194
darkkomet,4,0.10416144157558715
darkkomet,5,0.06726795790990248
darkkomet,6,0.10116903512648445
darkkomet,7,0.07367136952020048
darkkomet,8,0.05702909121576938
darkkomet,9,0.02662171659851298
darkkomet,10,0.021001959430233974
delf,1,0.012648033972585848
delf,2,0.0029367562324111862
delf,3,0.0009713316362089941
delf,4,0.00037638367725034705
delf,5,0.0006891312537782301
delf,6,0.00023375411110060362
delf,7,0.00021520746603709284
delf,8,0.00013354620570948939
delf,9,9.260826916657194e-05
delf,10,7.359068081291831e-05
gamehack,1,1.0595298680612237
gamehack,2,0.27083034047958354
gamehack,3,0.11824158566654508
gamehack,4,0.061978081997789314
gamehack,5,0.03810594327275063
gamehack,6,0.024077085012591093
fareit,1,1.3504906855033028e-06
fareit,2,1.7469224036892328e-05
fareit,3,4.864012216598823e-05
fareit,4,0.00031501744546602595
fareit,5,0.0002003445294360695
fareit,6,0.00014046070703122027
fareit,7,0.00010750964877237479
fareit,8,0.014318937742135107
fareit,9,0.011296607410111958
fareit,10,0.009143342274659405
