Class 1,Class 2,Number of Files,MMD Score
gandcrab,gamarue,2,1.2333065534329974
gandcrab,darkkomet,2,0.9395255684200092
gandcrab,delf,2,1.2272353867373815
gandcrab,gamehack,2,0.950955866219918
gandcrab,fareit,2,1.2611883963212935
downloadguide,benign,2,0.9221354759840423
downloadguide,gandcrab,2,1.2634636332381988
downloadguide,firseria,2,1.2620706590889494
downloadguide,emotet,2,1.2484440978271822
downloadguide,driverpack,2,1.2606804440441475
downloadguide,domaiq,2,1.254770061415622
downloadguide,hotbar,2,1.2624688655313876
downloadguide,multiplug,2,1.2536400229923306
downloadguide,dlhelper,2,1.2573750637946945
downloadguide,downloadadmin,2,1.2628983387602566
downloadguide,gamarue,2,1.2330838817585978
downloadguide,darkkomet,2,0.9392740168841887
downloadguide,delf,2,1.2270137835117927
downloadguide,gamehack,2,0.9507584500854969
downloadguide,fareit,2,1.2609761323514683
firseria,benign,2,0.920858208872416
firseria,gandcrab,2,1.2622309291394838
firseria,downloadguide,2,1.2620706590889494
firseria,emotet,2,1.2472335334782512
firseria,driverpack,2,1.2595886279983273
firseria,domaiq,2,1.2535742864896227
firseria,hotbar,2,1.2612813216045458
firseria,multiplug,2,1.2522033745285377
firseria,dlhelper,2,1.2561834586637433
firseria,downloadadmin,2,1.2616904361635797
firseria,gamarue,2,1.2318530505434937
firseria,darkkomet,2,0.9378678842673149
firseria,delf,2,1.225776678119542
firseria,gamehack,2,0.949482523082982
firseria,fareit,2,1.259790620960261
emotet,benign,2,0.9057527169797267
emotet,gandcrab,2,1.2486601102128927
emotet,downloadguide,2,1.2484440978271822
emotet,firseria,2,1.2472335334782512
emotet,driverpack,2,1.2459126278188568
emotet,domaiq,2,1.239788202063383
emotet,hotbar,2,1.247644128399097
emotet,multiplug,2,1.2385565368828706
emotet,dlhelper,2,1.242446953490738
emotet,downloadadmin,2,1.2480555836349154
emotet,gamarue,2,1.2176226514970723
emotet,darkkomet,2,0.9216172440880696
emotet,delf,2,1.2115435000000416
emotet,gamehack,2,0.9349926093785469
emotet,fareit,2,1.2461166398413095
driverpack,benign,2,0.9192333229498133
driverpack,gandcrab,2,1.2609883275393883
driverpack,downloadguide,2,1.2606804440441475
driverpack,firseria,2,1.2595886279983273
driverpack,emotet,2,1.2459126278188568
driverpack,domaiq,2,1.2522644807608017
driverpack,hotbar,2,1.2599876463692183
driverpack,multiplug,2,1.2511335496247482
driverpack,dlhelper,2,1.2548785437831635
driverpack,downloadadmin,2,1.2600470854151187
driverpack,gamarue,2,1.2304969116564541
driverpack,darkkomet,2,0.9363272077610568
driverpack,delf,2,1.2241072054257063
driverpack,gamehack,2,0.9481038574066881
driverpack,fareit,2,1.2584878964138624
domaiq,benign,2,0.9128240595495398
domaiq,gandcrab,2,1.2549827155772997
domaiq,downloadguide,2,1.254770061415622
domaiq,firseria,2,1.2535742864896227
domaiq,emotet,2,1.239788202063383
domaiq,driverpack,2,1.2522644807608017
domaiq,hotbar,2,1.2539777860135066
domaiq,multiplug,2,1.245034418080867
domaiq,dlhelper,2,1.2488262621520636
domaiq,downloadadmin,2,1.2544105945880493
domaiq,gamarue,2,1.2242568480615996
domaiq,darkkomet,2,0.929218326955643
domaiq,delf,2,1.2181101505515968
domaiq,gamehack,2,0.9417353828735213
domaiq,fareit,2,1.252467701962964
hotbar,benign,2,0.9212975703531253
hotbar,gandcrab,2,1.2626812166628834
hotbar,downloadguide,2,1.2624688655313876
hotbar,firseria,2,1.2612813216045458
hotbar,emotet,2,1.247644128399097
hotbar,driverpack,2,1.2599876463692183
hotbar,domaiq,2,1.2539777860135066
hotbar,multiplug,2,1.2527192341904936
hotbar,dlhelper,2,1.256585291801559
hotbar,downloadadmin,2,1.2621133137034974
hotbar,gamarue,2,1.2322491918710854
